ASHP,Wall R-Val,Window U-Val,WWR,EUI,TEDI,Mech EUI
0,16.8,0.42,36.1,108.668102,24.84377346,53.958934
1,16.8,0.42,36.1,92.30951347,24.84377346,37.60034549
0,22.7,0.42,36.1,107.1996137,23.29355371,52.49044575
1,22.7,0.42,36.1,91.86224202,23.29355371,37.15307403
0,16.8,0.38,36.1,107.4109962,23.40665832,52.70182818
1,16.8,0.38,36.1,92.00577222,23.40665832,37.29660424
0,22.7,0.38,36.1,106.00526,21.90504231,51.296092
1,22.7,0.38,36.1,91.57943371,21.90504231,36.87026573
0,16.8,0.34,36.1,106.1587507,21.93063678,51.44958275
1,16.8,0.34,36.1,91.71373447,21.93063678,37.00456648
0,22.7,0.34,36.1,104.7764625,20.43804552,50.0672945
1,22.7,0.34,36.1,91.31587974,20.43804552,36.60671176
0,16.8,0.42,28.9,105.9429407,23.07289504,51.23377275
1,16.8,0.42,28.9,90.75797774,23.07289504,36.04880975
0,22.7,0.42,28.9,104.4034594,21.41440766,49.69429145
1,22.7,0.42,28.9,90.31328561,21.41440766,35.60411763
0,16.8,0.38,28.9,104.9073241,21.87305508,50.19815615
1,16.8,0.38,28.9,90.51481278,21.87305508,35.8056448
0,22.7,0.38,28.9,103.4006781,20.24291112,48.69151015
1,22.7,0.38,28.9,90.08340334,20.24291112,35.37423536
0,16.8,0.34,28.9,103.8214369,20.61198961,49.11226888
1,16.8,0.34,28.9,90.26498016,20.61198961,35.55581217
0,22.7,0.34,28.9,102.3801983,19.03033242,47.67103031
1,22.7,0.34,28.9,89.85697772,19.03033242,35.14780974
0,15.6,0.45,36.1,165.8477382,61.7302747,101.6905983
0,15.6,0.45,28.9,159.3544588,58.17964518,95.19731889
